2525Charlie1stTen,2525Charlie,2525DeltaSymbolSet,2525DeltaEntity,2525DeltaMod1,2525DeltaMod2,Remarks
SUAPWMAA--,SUAPWMAA--*****,02,110000,01,01,
SUAPWMAP--,SUAPWMAP--*****,02,110000,01,04,
SUAPWMU---,SUAPWMU---*****,02,110000,03,02,
SUAPWMCM--,SUAPWMCM--*****,02,110000,07,06,
SUAPWMB---,SUAPWMB---*****,02,110000,06,06,
SUPP------,SUPP------*****,05,110000,00,00,
,,05,110100,00,00,
,,05,110200,00,00,
,,05,110300,00,00,
,,05,110400,00,00,
,,05,110500,00,00,
,,05,110600,00,00,
SUPPS-----,SUPPS-----*****,05,110700,00,00,
,,05,110800,00,00,
,,05,110900,00,00,
,,05,111000,00,00,
,,05,111100,00,00,
,,05,111200,00,00,
,,05,111300,00,00,
,,05,111400,00,00,
,,05,111500,00,00,
SUPPT-----,SUPPT-----*****,05,111600,00,00,
,,05,111700,00,00,
,,05,111800,00,00,
SUPPL-----,SUPPL-----*****,05,111900,00,00,
,,05,120000,00,00,
,,05,120100,00,00,
,,05,120200,00,00,
,,05,120300,00,00,
,,05,120400,00,00,
,,05,120500,00,00,
,,05,120600,00,00,
,,05,120700,00,00,
,,05,120800,00,00,
,,05,120900,00,00,
,,05,121000,00,00,
,,05,121100,00,00,
,,05,121200,00,00,
,,05,130000,00,00,
,,06,110000,00,00,
,,10,110000,00,00,
,,10,110100,00,00,
SUFPGC----,SUFPGC----*****,10,110200,00,00,
,,10,110300,00,00,
,,10,110400,00,00,
,,10,110500,00,00,
SUFPGP----,SUFPGP----*****,10,110600,00,00,
,,10,110601,00,00,
,,10,110700,00,00,
,,10,110800,00,00,
,,10,110900,00,00,
SUGPUUS---,SUGPUUS---*****,10,111000,00,00,
SUGPUUSA--,SUGPUUSA--*****,10,111000,02,00,
SUGPUUSC--,SUGPUUSC--*****,10,111000,11,00,
SUGPUUSO--,SUGPUUSO--*****,10,111000,49,00,
SUGPUUSF--,SUGPUUSF--*****,10,111000,27,00,
SUGPUUSM--,SUGPUUSM--*****,10,111000,36,00,
SUGPUUSML-,SUGPUUSML-*****,10,111000,30,00,
SUGPUUSMN-,SUGPUUSMN-*****,10,111000,47,00,
SUGPUUSS--,SUGPUUSS--*****,10,111000,77,00,
SUGPUUSR--,SUGPUUSR--*****,10,111001,00,00,
SUGPUUSRW-,SUGPUUSRW-*****,10,111002,00,00,
SUGPUUSRT-,SUGPUUSRT-*****,10,111003,00,00,
SUGPUUSRS-,SUGPUUSRS-*****,10,111004,00,00,
,,10,111005,00,00,
,,10,111095,00,00,
,,10,111097,00,00,
,,10,111098,00,00,
,,10,111100,00,00,
,,10,111200,00,00,
,,10,120000,00,00,
,,10,120100,00,00,
,,10,120200,00,00,
,,10,120300,00,00,
SUGPUUP---,SUGPUUP---*****,10,120300,29,00,
SUGPUCAA--,SUGPUCAA--*****,10,120400,00,00,
SUGPUCAAL-,SUGPUCAAL-*****,10,120400,00,19,
,,10,120400,00,24,
,,10,120400,00,15,
SUGPUCAAM-,SUGPUCAAM-*****,10,120400,00,01,
SUGPUCAAS-,SUGPUCAAS-*****,10,120400,01,00,
SUGPUCAAU-,SUGPUCAAU-*****,10,120400,00,27,
SUGPUCAAC-,SUGPUCAAC-*****,10,120400,00,02,
SUGPUCAAA-,SUGPUCAAA-*****,10,120401,00,00,
SUGPUCAAAS,SUGPUCAAAS*****,10,120401,01,00,
SUGPUCAAAW,SUGPUCAAAW*****,10,120401,00,51,
SUGPUCAAO-,SUGPUCAAO-*****,10,120402,00,00,
SUGPUCAAOS,SUGPUCAAOS*****,10,120402,01,00,
SUGPUCAT--,SUGPUCAT--*****,10,120500,00,00,
SUGPUCATL-,SUGPUCATL-*****,10,120500,00,19,
SUGPUCATM-,SUGPUCATM-*****,10,120500,00,24,
SUGPUCATH-,SUGPUCATH-*****,10,120500,00,15,
SUGPUCATA-,SUGPUCATA-*****,10,120500,00,01,
SUGPUCATR-,SUGPUCATR-*****,10,120500,00,38,
SUGPUCRVA-,SUGPUCRVA-*****,10,120501,00,00,
SUGPUCRRL-,SUGPUCRRL-*****,10,120501,00,19,
SUGPUCATW-,SUGPUCATW-*****,10,120502,00,00,
SUGPUCAWW-,SUGPUCAWW-*****,10,150502,00,51,
SUGPUCATWR,SUGPUCATWR*****,10,120502,00,38,
,,10,120595,00,00,
SUGPUCV---,SUGPUCV---*****,10,120600,00,00,
SUGPUCVRA-,SUGPUCVRA-*****,10,120600,03,00,
SUGPUCVUR-,SUGPUCVUR-*****,10,120600,01,00,
SUGPUCVRUC,SUGPUCVRUC*****,10,120600,10,00,
SUGPUCVRM-,SUGPUCVRM-*****,10,120600,33,00,
SUGPUCVS--,SUGPUCVS--*****,10,120600,53,00,
SUGPUCSA--,SUGPUCSA--*****,10,120600,54,00,
SUFPA-----,SUFPA-----*****,10,120600,63,00,
SUFPAHA---,SUFPAHA---*****,10,120600,63,54,
SUFPAHU---,SUFPAHU---*****,10,120600,63,56,
SUFPAHH---,SUFPAHH---*****,10,120600,63,57,
SUFPAHUL--,SUFPAHUL--*****,10,120600,63,19,
SUFPAHUM--,SUFPAHUM--*****,10,120600,63,24,
SUFPAHUH--,SUFPAHUH--*****,10,120600,63,15,
